genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_000427075.1_ILRI005	1309807.0	1311	Streptococcus agalactiae ILRI005	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000427075.1_ILRI005_genomic.fna
GCF_000831145.1_ASM83114v1	1311.1	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000831145.1_ASM83114v1_genomic.fna
GCF_029278525.1_ASM2927852v1	1311.2	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029278525.1_ASM2927852v1_genomic.fna
GCF_949787155.1_23495_7_299_h_nanopore	1311.3	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949787155.1_23495_7_299_h_nanopore_genomic.fna
GCF_949788785.1_23220_1_57_h_nanopore	1311.4	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949788785.1_23220_1_57_h_nanopore_genomic.fna
GCF_947313835.2_23220_1_11_h_nanopore	1311.5	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_947313835.2_23220_1_11_h_nanopore_genomic.fna
GCF_949790945.1_23495_7_361_h_nanopore	1311.6	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949790945.1_23495_7_361_h_nanopore_genomic.fna
GCF_029625255.1_ASM2962525v1	1311.7	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029625255.1_ASM2962525v1_genomic.fna
GCF_029917085.1_ASM2991708v1	1311.8	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029917085.1_ASM2991708v1_genomic.fna
GCF_009930915.1_ASM993091v1	1311.9	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_009930915.1_ASM993091v1_genomic.fna
GCF_000007265.1_ASM726v1	208435.0	1311	Streptococcus agalactiae 2603V/R	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000007265.1_ASM726v1_genomic.fna
GCF_949790125.1_23220_1_59_h_nanopore	1311.39	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949790125.1_23220_1_59_h_nanopore_genomic.fna
GCF_021460195.1_ASM2146019v1	1311.45	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_021460195.1_ASM2146019v1_genomic.fna
GCF_001640765.1_ASM164076v1	1307.1	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_001640765.1_ASM164076v1_genomic.fna
GCF_014192525.1_ASM1419252v1	1307.2	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_014192525.1_ASM1419252v1_genomic.fna
GCF_000233575.1_ASM23357v1	993512.0	1307	Streptococcus suis A7	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000233575.1_ASM23357v1_genomic.fna
GCF_016774475.1_ASM1677447v1	1307.3	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_016774475.1_ASM1677447v1_genomic.fna
GCF_025946905.1_ASM2594690v1	1307.4	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_025946905.1_ASM2594690v1_genomic.fna
GCF_004843685.1_ASM484368v1	1307.5	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_004843685.1_ASM484368v1_genomic.fna
GCF_024582995.1_ASM2458299v1	1307.6	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_024582995.1_ASM2458299v1_genomic.fna
GCF_000390245.1_ASM39024v1	1276647.0	1307	Streptococcus suis TL13	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000390245.1_ASM39024v1_genomic.fna
GCF_025946945.1_ASM2594694v1	1307.7	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_025946945.1_ASM2594694v1_genomic.fna
GCF_000018185.1_ASM1818v1	423211.0	1307	Streptococcus suis GZ1	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000018185.1_ASM1818v1_genomic.fna
GCF_000231905.1_ASM23190v1	1004952.0	1307	Streptococcus suis D12	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000231905.1_ASM23190v1_genomic.fna
GCF_901543625.1_42685_E01	1307.36	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_901543625.1_42685_E01_genomic.fna
GCF_003288175.1_ASM328817v1	1307.42	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_003288175.1_ASM328817v1_genomic.fna
GCF_027474865.2_ASM2747486v2	315405.1	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_027474865.2_ASM2747486v2_genomic.fna
GCF_013267695.1_ASM1326769v1	315405.2	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_013267695.1_ASM1326769v1_genomic.fna
GCF_001477575.1_ASM147757v1	315405.3	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_001477575.1_ASM147757v1_genomic.fna
GCF_900475715.1_44927_A02	315405.4	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900475715.1_44927_A02_genomic.fna
GCF_000203195.1_ASM20319v1	990317.0	315405	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000203195.1_ASM20319v1_genomic.fna
GCF_000270145.1_ASM27014v1	981539.0	315405	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000270145.1_ASM27014v1_genomic.fna
GCF_000027185.1_ASM2718v1	637909.0	315405	Streptococcus gallolyticus UCN34	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000027185.1_ASM2718v1_genomic.fna
GCF_019047505.1_ASM1904750v1	1302.1	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_019047505.1_ASM1904750v1_genomic.fna
GCF_001281105.1_ASM128110v1	1302.2	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_001281105.1_ASM128110v1_genomic.fna
GCF_000970665.2_ASM97066v2	1302.3	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000970665.2_ASM97066v2_genomic.fna
GCF_901543415.1_42545_E02	1302.4	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_901543415.1_42545_E02_genomic.fna
GCF_901544385.1_42912_F01	1302.5	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_901544385.1_42912_F01_genomic.fna
GCF_002073435.2_ASM207343v2	1302.6	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_002073435.2_ASM207343v2_genomic.fna
GCF_000017005.1_ASM1700v1	467705.0	1302	Streptococcus gordonii str. Challis substr. CH1	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000017005.1_ASM1700v1_genomic.fna
GCF_002386285.1_ASM238628v1	1302.7	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_002386285.1_ASM238628v1_genomic.fna
GCF_019046945.1_ASM1904694v1	1302.8	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_019046945.1_ASM1904694v1_genomic.fna
GCF_900475125.1_42042_H01	40041.1	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900475125.1_42042_H01_genomic.fna
GCF_900474875.1_41851_B01	40041.2	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900474875.1_41851_B01_genomic.fna
GCF_015689435.1_ASM1568943v1	40041.3	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_015689435.1_ASM1568943v1_genomic.fna
GCF_015689395.1_ASM1568939v1	40041.4	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_015689395.1_ASM1568939v1_genomic.fna
GCF_000026605.1_ASM2660v1	40041.5	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000026605.1_ASM2660v1_genomic.fna
GCF_021029665.1_ASM2102966v1	40041.6	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_021029665.1_ASM2102966v1_genomic.fna
GCF_900636805.1_44503_C02	40041.7	1336	Streptococcus equi subsp. zooepidemicus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900636805.1_44503_C02_genomic.fna
