genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_000007265.1_ASM726v1	208435.0	1311	Streptococcus agalactiae 2603V/R	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000007265.1_ASM726v1_genomic.fna
GCF_949790125.1_23220_1_59_h_nanopore	1311.39	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949790125.1_23220_1_59_h_nanopore_genomic.fna
GCF_021460195.1_ASM2146019v1	1311.45	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_021460195.1_ASM2146019v1_genomic.fna
GCF_000231905.1_ASM23190v1	1004952.0	1307	Streptococcus suis D12	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000231905.1_ASM23190v1_genomic.fna
GCF_901543625.1_42685_E01	1307.36	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_901543625.1_42685_E01_genomic.fna
GCF_003288175.1_ASM328817v1	1307.42	1307	Streptococcus suis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_003288175.1_ASM328817v1_genomic.fna
GCF_027474865.2_ASM2747486v2	315405.1	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_027474865.2_ASM2747486v2_genomic.fna
GCF_013267695.1_ASM1326769v1	315405.2	315405	Streptococcus gallolyticus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_013267695.1_ASM1326769v1_genomic.fna
GCF_000270145.1_ASM27014v1	981539.0	315405	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000270145.1_ASM27014v1_genomic.fna
GCF_019047505.1_ASM1904750v1	1302.1	1302	Streptococcus gordonii	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_019047505.1_ASM1904750v1_genomic.fna
