genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_002355215.1_ASM235521v1	1111760.0	1111760	Streptococcus troglodytae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_002355215.1_ASM235521v1_genomic.fna
GCF_016127275.1_ASM1612727v1	102684.0	102684	Streptococcus infantarius	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_016127275.1_ASM1612727v1_genomic.fna
GCF_900476055.1_53750_F01	113107.1	113107	Streptococcus australis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900476055.1_53750_F01_genomic.fna
GCF_900636505.1_42650_H02	113107.2	113107	Streptococcus australis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900636505.1_42650_H02_genomic.fna
GCF_900475365.1_43908_G01	1310.1	1310	Streptococcus sobrinus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900475365.1_43908_G01_genomic.fna
GCF_003172975.1_ASM317297v1	1310.2	1310	Streptococcus sobrinus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_003172975.1_ASM317297v1_genomic.fna
GCF_900475395.1_43908_H01	1310.3	1310	Streptococcus sobrinus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900475395.1_43908_H01_genomic.fna
GCF_016549395.1_ASM1654939v1	1303.1	1303	Streptococcus oralis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_016549395.1_ASM1654939v1_genomic.fna
GCF_024399415.1_ASM2439941v1	1303.2	1303	Streptococcus oralis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_024399415.1_ASM2439941v1_genomic.fna
GCF_019334565.1_ASM1933456v1	1303.3	1303	Streptococcus oralis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_019334565.1_ASM1933456v1_genomic.fna
GCF_900637025.1_46338_H01	655813.0	1303	Streptococcus oralis ATCC 35037	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_900637025.1_46338_H01_genomic.fna
GCF_016127735.1_ASM1612773v1	1303.4	1303	Streptococcus oralis	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_016127735.1_ASM1612773v1_genomic.fna
GCF_000427075.1_ILRI005	1309807.0	1311	Streptococcus agalactiae ILRI005	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000427075.1_ILRI005_genomic.fna
GCF_000831145.1_ASM83114v1	1311.1	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_000831145.1_ASM83114v1_genomic.fna
GCF_029278525.1_ASM2927852v1	1311.2	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029278525.1_ASM2927852v1_genomic.fna
GCF_949787155.1_23495_7_299_h_nanopore	1311.3	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949787155.1_23495_7_299_h_nanopore_genomic.fna
GCF_949788785.1_23220_1_57_h_nanopore	1311.4	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949788785.1_23220_1_57_h_nanopore_genomic.fna
GCF_947313835.2_23220_1_11_h_nanopore	1311.5	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_947313835.2_23220_1_11_h_nanopore_genomic.fna
GCF_949790945.1_23495_7_361_h_nanopore	1311.6	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_949790945.1_23495_7_361_h_nanopore_genomic.fna
GCF_029625255.1_ASM2962525v1	1311.7	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029625255.1_ASM2962525v1_genomic.fna
GCF_029917085.1_ASM2991708v1	1311.8	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_029917085.1_ASM2991708v1_genomic.fna
GCF_009930915.1_ASM993091v1	1311.9	1311	Streptococcus agalactiae	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/reference_diversity/preprocess/res/db/library/GCF_009930915.1_ASM993091v1_genomic.fna
